T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2023-2024,,,,,,,
,,,,,,,
YEAR,REGION,COUNTY NAME,DISTRICT,DISTRICT NAME,CHARTER STATUS,GRADE,ENROLLMENT
2023-2024,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Grade 4,<10
2023-2024,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Grade 5,11
2023-2024,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Grade 6,<10
2023-2024,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Grade 7,<10
2023-2024,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Grade 8,12
2023-2024,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Grade 9,14
2023-2024,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Grade 10,11
2023-2024,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Grade 11,<10
2023-2024,16,OLDHAM COUNTY,180903,ADRIAN ISD,TRADITIONAL ISD/CSD,Grade 12,<10
2023-2024,10,DALLAS COUNTY,57806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Pre-kindergarten,66
2023-2024,10,DALLAS COUNTY,57806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Kindergarten,76
2023-2024,10,DALLAS COUNTY,57806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 1,76
2023-2024,10,DALLAS COUNTY,57806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 2,79
2023-2024,10,DALLAS COUNTY,57806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 3,78
2023-2024,10,DALLAS COUNTY,57806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 4,78
2023-2024,10,DALLAS COUNTY,57806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 5,85
2023-2024,10,DALLAS COUNTY,57806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 6,74
2023-2024,10,DALLAS COUNTY,57806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 7,99
2023-2024,10,DALLAS COUNTY,57806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 8,98
2023-2024,10,DALLAS COUNTY,57806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 9,47
2023-2024,10,DALLAS COUNTY,57806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 10,39
2023-2024,10,DALLAS COUNTY,57806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 11,46
2023-2024,10,DALLAS COUNTY,57806,ADVANTAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 12,30
2023-2024,2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Early Education,<10
2023-2024,2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,<20
2023-2024,2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Kindergarten,27
2023-2024,2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Grade 1,19
2023-2024,2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Grade 2,26
2023-2024,2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Grade 3,28
2023-2024,2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Grade 4,35
2023-2024,2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Grade 5,23
2023-2024,2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Grade 6,29
2023-2024,2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Grade 7,30
2023-2024,2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Grade 8,36
2023-2024,2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Grade 9,32
2023-2024,2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Grade 10,50
2023-2024,2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Grade 11,31
2023-2024,2,NUECES COUNTY,178901,AGUA DULCE ISD,TRADITIONAL ISD/CSD,Grade 12,14
2023-2024,20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Early Education,49
2023-2024,20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,79
2023-2024,20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Kindergarten,285
2023-2024,20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Grade 1,313
2023-2024,20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Grade 2,317
2023-2024,20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Grade 3,342
2023-2024,20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Grade 4,325
2023-2024,20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Grade 5,349
2023-2024,20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Grade 6,358
2023-2024,20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Grade 7,361
2023-2024,20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Grade 8,382
2023-2024,20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Grade 9,383
2023-2024,20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Grade 10,384
2023-2024,20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Grade 11,378
2023-2024,20,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,TRADITIONAL ISD/CSD,Grade 12,393
2023-2024,7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Early Education,<10
2023-2024,7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,<50
2023-2024,7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Kindergarten,46
2023-2024,7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Grade 1,66
2023-2024,7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Grade 2,62
2023-2024,7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Grade 3,63
2023-2024,7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Grade 4,53
2023-2024,7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Grade 5,62
2023-2024,7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Grade 6,56
2023-2024,7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Grade 7,68
2023-2024,7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Grade 8,67
2023-2024,7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Grade 9,67
2023-2024,7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Grade 10,69
2023-2024,7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Grade 11,62
2023-2024,7,WOOD COUNTY,250906,ALBA-GOLDEN ISD,TRADITIONAL ISD/CSD,Grade 12,49
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Early Education,<10
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,<30
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Kindergarten,45
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Grade 1,37
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Grade 2,27
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Grade 3,27
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Grade 4,31
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Grade 5,36
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Grade 6,32
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Grade 7,33
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Grade 8,33
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Grade 9,37
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Grade 10,42
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Grade 11,45
2023-2024,14,SHACKELFORD COUNTY,209901,ALBANY ISD,TRADITIONAL ISD/CSD,Grade 12,46
2023-2024,4,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,Early Education,330
2023-2024,4,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,3060
2023-2024,4,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,Kindergarten,3595
2023-2024,4,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,Grade 1,3879
2023-2024,4,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,Grade 2,4299
